task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
20171219/audio/20171219-095511_17899940_17902820.wav,2025-01-27T02:53:45,experiment_3,04090a99-fe4d-4c8a-9165-d9662e2e0ffc,14.367364957986865,6.438678771376648e-07,4.4824104710037576e-08,4.2105,0.0,6.0,8.827319585655181e-06,0.0,1.2577862500038463e-05,2.1405182085693646e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_17902820_17906670.wav,2025-01-27T02:54:15,experiment_3,04090a99-fe4d-4c8a-9165-d9662e2e0ffc,23.106612917035818,9.92906161637878e-07,4.297459447223906e-08,1.1779,0.0,6.0,5.416861653699495e-06,0.0,2.759198680500655e-05,3.300884845870605e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_17906670_17910250.wav,2025-01-27T02:54:57,experiment_3,04090a99-fe4d-4c8a-9165-d9662e2e0ffc,36.00975462497445,1.6666616391305796e-06,4.6285572407496405e-08,0.7685000000000001,0.0,6.0,6.291096016273545e-06,0.0,4.911653826333349e-05,5.540763427960704e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_17910250_17915840.wav,2025-01-27T02:55:17,experiment_3,04090a99-fe4d-4c8a-9165-d9662e2e0ffc,12.890204583993182,3.508748275186198e-07,2.7223006950176477e-08,0.5901000000000001,0.0,6.0,1.0445316594834928e-06,0.0,1.0620190000045106e-05,1.1664721659528592e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_17915840_17918780.wav,2025-01-27T02:55:59,experiment_3,04090a99-fe4d-4c8a-9165-d9662e2e0ffc,35.73769408400403,1.5688449105702152e-06,4.389996989469487e-08,0.42080000000000006,0.0009,6.0,3.417640723541895e-06,8.130896531249163e-09,4.8729976736649406e-05,5.215574835672258e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_17918780_17925880.wav,2025-01-27T02:56:38,experiment_3,04090a99-fe4d-4c8a-9165-d9662e2e0ffc,32.13323129096534,1.4934102154513469e-06,4.648117609853014e-08,0.9827000000000002,0.0009,6.0,6.986216902167926e-06,7.21860357299738e-09,4.265451048665757e-05,4.964794599239848e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_17925880_17930220.wav,2025-01-27T02:56:54,experiment_3,04090a99-fe4d-4c8a-9165-d9662e2e0ffc,9.279923250025604,1.882009472017517e-07,2.028566768999584e-08,2.4344,0.0,6.0,1.8059523705974242e-06,0.0,4.450728054992704e-06,6.256680425590142e-06,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_17930220_17934780.wav,2025-01-27T02:57:32,experiment_3,04090a99-fe4d-4c8a-9165-d9662e2e0ffc,31.355989833013155,1.4827404198619682e-06,4.728990423860506e-08,1.1383,0.0009,6.0,7.859482636802391e-06,7.036489802252616e-09,4.1426712916678904e-05,4.929323204328352e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_17934780_17943870.wav,2025-01-27T02:58:12,experiment_3,04090a99-fe4d-4c8a-9165-d9662e2e0ffc,33.072393457987346,1.5342592292429918e-06,4.63957181189035e-08,0.9288000000000002,0.0009,6.0,6.836400418842445e-06,7.463346750009806e-09,4.416209465339004e-05,5.100595841898249e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_17943870_17952780.wav,2025-01-27T02:58:51,experiment_3,04090a99-fe4d-4c8a-9165-d9662e2e0ffc,32.45521020801971,1.5178591772675844e-06,4.677055011171068e-08,1.0253,0.0009,6.0,7.363482499225358e-06,7.309412593749584e-09,4.308995201330012e-05,5.046074392511921e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
