task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
20171122/audio/20171122-095628_2108703_2111476.wav,2025-03-18T14:24:43,experiment_37,604bb3b8-27fb-44a1-8cca-eb40bb4e4f4e,0.4551669959910214,1.6927467460532365e-06,3.7168936207457245e-06,70.0,82.85590185502272,282.94398021698,9.044865120409264e-06,1.070778633760483e-05,3.652217387620255e-05,5.627482533421664e-05,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_2111476_2113207.wav,2025-03-18T14:24:55,experiment_37,604bb3b8-27fb-44a1-8cca-eb40bb4e4f4e,11.251566857565194,5.1880520869259695e-05,4.611073255666334e-06,70.0,198.94623887672148,282.94398021698,0.0002187676106256226,0.0006217616085102406,0.000884222139549632,0.0017247513586854952,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_2113207_2119110.wav,2025-03-18T14:25:05,experiment_37,604bb3b8-27fb-44a1-8cca-eb40bb4e4f4e,9.779253895860165,4.602931824265288e-05,4.7070644820778295e-06,70.0,210.34601269175323,282.94398021698,0.00019016919506636138,0.0005714532349401225,0.0007686075647625613,0.0015302299947690453,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_2119110_2123717.wav,2025-03-18T14:25:13,experiment_37,604bb3b8-27fb-44a1-8cca-eb40bb4e4f4e,8.807411422021687,4.141948946371807e-05,4.7028500746735075e-06,70.0,209.739023749396,282.94398021698,0.00017130517501306417,0.0005132806884091679,0.0006923918448130761,0.0013769777082353078,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_2123717_2132303.wav,2025-03-18T14:25:22,experiment_37,604bb3b8-27fb-44a1-8cca-eb40bb4e4f4e,8.867728633340448,4.199925682633375e-05,4.736258668047987e-06,70.0,213.92686867122723,282.94398021698,0.0001724197523564928,0.0005269356993231611,0.0006968964374936743,0.001396251889173329,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_2132303_2138793.wav,2025-03-18T14:25:34,experiment_37,604bb3b8-27fb-44a1-8cca-eb40bb4e4f4e,11.723619908094406,5.550810725609708e-05,4.734911207306814e-06,70.0,213.901849225669,282.94398021698,0.00022788984733245648,0.0006963775015513818,0.0009210819614917298,0.0018453493103755686,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_2138793_2143400.wav,2025-03-18T14:25:43,experiment_37,604bb3b8-27fb-44a1-8cca-eb40bb4e4f4e,8.94697589520365,4.176108777761587e-05,4.667852835044168e-06,70.0,205.9179274708986,282.94398021698,0.0001739022778722251,0.00051157096481802,0.0007028607924698567,0.001388334035160102,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_2144951_2147779.wav,2025-03-18T14:25:52,experiment_37,604bb3b8-27fb-44a1-8cca-eb40bb4e4f4e,8.306567172054201,3.899617359363238e-05,4.6946893345657254e-06,70.0,208.95288327534124,282.94398021698,0.0001615090872704361,0.0004821151079177355,0.000652791150344818,0.0012964153455329898,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_2157889_2167689.wav,2025-03-18T14:26:02,experiment_37,604bb3b8-27fb-44a1-8cca-eb40bb4e4f4e,10.613154311198741,4.935907813491771e-05,4.650925821575911e-06,70.0,203.67614787580925,282.94398021698,0.00020636853723553943,0.0006004671470378753,0.0008340911154246476,0.0016409267996980621,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_2167689_2175510.wav,2025-03-18T14:26:11,experiment_37,604bb3b8-27fb-44a1-8cca-eb40bb4e4f4e,8.795207651797682,4.0619737866598807e-05,4.618692314922983e-06,70.0,199.87539406161684,282.94398021698,0.00017099873264475422,0.0004882690017247171,0.000691122487259479,0.0013503902216289495,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_2175510_2182165.wav,2025-03-18T14:26:20,experiment_37,604bb3b8-27fb-44a1-8cca-eb40bb4e4f4e,8.393109665252268,3.890957903307209e-05,4.6361122172169075e-06,70.0,202.02332801211637,282.94398021698,0.00016316524878687527,0.00047090732116572553,0.0006594639670511283,0.0012935365370037276,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_2182165_2192179.wav,2025-03-18T14:26:30,experiment_37,604bb3b8-27fb-44a1-8cca-eb40bb4e4f4e,9.88942230772227,4.583583186494226e-05,4.635045467276517e-06,70.0,201.81824152828375,282.94398021698,0.0001922808237748944,0.0005543729434904776,0.0007771438346276527,0.001523797601893027,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_2192179_2198441.wav,2025-03-18T14:26:39,experiment_37,604bb3b8-27fb-44a1-8cca-eb40bb4e4f4e,9.060170745942742,4.199714648597645e-05,4.635561404056486e-06,70.0,202.70225504537788,282.94398021698,0.00017589621285830307,0.0005093556852564518,0.0007109298334669091,0.0013961817315816631,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_2198441_2208448.wav,2025-03-18T14:26:48,experiment_37,604bb3b8-27fb-44a1-8cca-eb40bb4e4f4e,8.613818539306521,3.975797300440206e-05,4.615857475064158e-06,70.0,199.5315490846637,282.94398021698,0.0001674745902716596,0.00047738288190402045,0.0006768836516408781,0.001321741123816559,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
