task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
20180530/audio/20180530-095508_2351442_2354192.wav,2025-01-27T14:58:15,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,36.3577045410002,1.992839485538502e-06,5.481638217577482e-08,1.9057,0.013000000000000001,6.0,1.5941235156534706e-05,1.2024447259138874e-07,5.0189833054999634e-05,6.625131268412573e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2363028_2364134.wav,2025-01-27T14:59:15,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,53.610457374999896,3.2915104842000544e-06,6.139989623196588e-08,2.3067,0.0,6.0,3.0386513968494724e-05,0.0,7.903870159666668e-05,0.0001094252155651614,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2364134_2375086.wav,2025-01-27T14:59:49,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,27.35110862500005,1.1497240030498353e-06,4.204101155551563e-08,0.5008000000000001,0.0036999999999999997,6.0,2.942615252509299e-06,2.496875402383344e-08,3.5254623541666215e-05,3.8222207548199304e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2375086_2384740.wav,2025-01-27T15:00:18,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,23.157216999999946,8.880562982068189e-07,3.835357413676798e-08,0.2528,0.0009,6.0,1.1934306664542269e-06,5.022891875000023e-09,2.8324694653333616e-05,2.9523148211662854e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2384740_2391214.wav,2025-01-27T15:00:56,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,31.283998708000126,1.4548173406842347e-06,4.6508270028718145e-08,0.9485999999999999,0.0,6.0,6.602674229307959e-06,0.0,4.176226395833282e-05,4.836493818764079e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2391214_2395846.wav,2025-01-27T15:01:17,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,15.16419062499972,5.286913365907094e-07,3.4870652770054676e-08,1.0660000000000003,0.0,6.0,2.6516626003471813e-06,0.0,1.4924512153333287e-05,1.757617475368049e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2395846_2404144.wav,2025-01-27T15:01:38,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,14.557798957999694,4.855644724297269e-07,3.335980887064295e-08,0.9988000000000002,0.0009,6.0,2.303337662624764e-06,2.8756859167499537e-09,1.3836222569999954e-05,1.6142435918541467e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2404144_2413778.wav,2025-01-27T15:02:26,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,42.18582354199998,2.3432786877120468e-06,5.555178666326933e-08,1.7960999999999998,0.001,6.0,1.7944884638433623e-05,1.0861159652777774e-08,5.9945806320000294e-05,7.790155211808667e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2413778_2423798.wav,2025-01-27T15:03:05,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,32.72870366699999,1.7068632575567773e-06,5.215621898067668e-08,1.7256,0.0,6.0,1.267452453054875e-05,0.0,4.406959972333348e-05,5.674412425388226e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2423798_2428288.wav,2025-01-27T15:03:56,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,44.3956791669998,2.364314323225659e-06,5.3258840960537846e-08,1.4303000000000003,0.0009,6.0,1.5128401464079233e-05,1.0332114822999982e-08,6.346214152833378e-05,7.860087510723598e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2428288_2429605.wav,2025-01-27T15:04:38,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,35.37557295800025,1.6404074815930483e-06,4.637448643795447e-08,0.7422,0.0,6.0,6.003384372924375e-06,0.0,4.853143881833376e-05,5.453482319125818e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2429605_2434259.wav,2025-01-27T15:05:15,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,30.75198733299976,1.348971016245554e-06,4.386937696578767e-08,0.6022000000000001,0.0,6.0,4.0905354957521345e-06,0.0,4.075557541666669e-05,4.484611091241876e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2434259_2436163.wav,2025-01-27T15:06:02,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,41.274568959000135,2.2524652569598452e-06,5.457419347324736e-08,1.6869000000000003,0.0,6.0,1.6433134150739586e-05,0.0,5.844935444499996e-05,7.488248859573957e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2436163_2437048.wav,2025-01-27T15:06:41,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,32.84029274999966,1.480355641668556e-06,4.5080603820777805e-08,0.6527000000000001,0.0026999999999999997,6.0,4.826251995166607e-06,2.2324969843499844e-08,4.4365373888332824e-05,4.9213950853342885e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2437048_2444038.wav,2025-01-27T15:07:58,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,70.24152233299992,3.5234948232211956e-06,5.016458158736536e-08,0.5937000000000002,0.0,6.0,1.0547134558364037e-05,0.0,0.00010659032632000015,0.00011713746087836413,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2444038_2451538.wav,2025-01-27T15:08:36,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,31.986365750000004,1.6718863539882807e-06,5.22716259944698e-08,1.7637999999999998,0.0,6.0,1.2627192632589052e-05,0.0,4.295413562500016e-05,5.5581328257589156e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2451538_2456038.wav,2025-01-27T15:09:01,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,19.20490158299981,8.429501093115078e-07,4.3895077505724745e-08,1.7631000000000001,0.0009,6.0,6.363685736118042e-06,4.041621312499947e-09,2.1655879999999935e-05,2.8023607357430475e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2456038_2463644.wav,2025-01-27T15:09:49,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,40.83347179099974,3.047507022043714e-06,7.463448975894231e-08,4.5274,0.0055,6.0,4.354602677039541e-05,5.777281882472186e-08,5.770959874999942e-05,0.00010131339833921937,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2463644_2475365.wav,2025-01-27T15:10:40,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,45.043211166999754,2.1270418470433156e-06,4.722380609674648e-08,0.5739,0.0,6.0,6.1732445834791175e-06,0.0,6.453958277833336e-05,7.071282736181243e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2475365_2476990.wav,2025-01-27T15:11:33,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,46.86320687499983,2.2356207402746535e-06,4.770898701929939e-08,0.6043,0.0,6.0,6.802467111116504e-06,0.0,6.752003090333355e-05,7.432249801444992e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2476990_2481278.wav,2025-01-27T15:12:34,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,55.262940958999934,3.4689413810422593e-06,6.277594828341393e-08,2.4708,0.0,6.0,3.3638229312132195e-05,0.0,8.168561979166652e-05,0.00011532384910379863,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2481278_2482836.wav,2025-01-27T15:13:21,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,40.429257041000255,2.0603211440859578e-06,5.096487391004858e-08,1.2144,0.0,6.0,1.1529798885835988e-05,0.0,5.696492000000029e-05,6.849471888583638e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2482836_2485240.wav,2025-01-27T15:13:46,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,18.46970999999985,6.552265612791026e-07,3.548136170339071e-08,0.42189999999999994,0.0046,6.0,1.4297926042112163e-06,1.9689893986111226e-08,2.0333315416666293e-05,2.178279791486366e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2485240_2488519.wav,2025-01-27T15:14:49,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,56.36570445799998,2.7498332493863768e-06,4.878790739478934e-08,0.5783,0.0,6.0,8.036550296160313e-06,0.0,8.338077847333362e-05,9.141732876949394e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20180530/audio/20180530-095508_2488519_2494833.wav,2025-01-27T15:15:04,experiment_3,61e6cf1b-4ceb-416a-8b90-43e7bff202ed,9.042736208000406,1.4822296369023454e-07,1.6405981861179965e-08,0.1081,0.0,6.0,8.722158101391424e-08,0.0,4.840403541666758e-06,4.927625122680673e-06,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
