task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
20171219/audio/20171219-095511_9884640_9891740.wav,2025-01-26T13:21:29,experiment_3,63c66e27-c9c0-48c4-a1fb-b9f5e134b65c,10.036004916997626,2.0075188145560636e-07,2.000470282548158e-08,0.9064999999999998,0.0009,6.0,8.757977683762952e-07,1.7002942187536972e-09,5.796434166647184e-06,6.6739322292422324e-06,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_9893280_9896620.wav,2025-01-26T13:22:34,experiment_3,63c66e27-c9c0-48c4-a1fb-b9f5e134b65c,57.98868533404311,3.0172891270846016e-06,5.203527219265336e-08,1.0346,0.0026999999999999997,6.0,1.4746731870684745e-05,4.107538956226198e-08,8.552100680506555e-05,0.00010030881406531256,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_9898900_9900110.wav,2025-01-26T13:23:14,experiment_3,63c66e27-c9c0-48c4-a1fb-b9f5e134b65c,33.13165079202736,1.4529909079327409e-06,4.3859585122316594e-08,0.6381,0.0,6.0,4.643443943798016e-06,0.0,4.366077506992344e-05,4.8304219013721455e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_9903700_9923730.wav,2025-01-26T13:23:40,experiment_3,63c66e27-c9c0-48c4-a1fb-b9f5e134b65c,20.15906720800558,7.421449122026919e-07,3.6820785879312907e-08,0.9084,0.0,6.0,3.2442906814315565e-06,0.0,2.1428080069987735e-05,2.467237075141928e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_9923730_9929990.wav,2025-01-26T13:24:21,experiment_3,63c66e27-c9c0-48c4-a1fb-b9f5e134b65c,34.281609625031706,1.5841911754438765e-06,4.621646009527768e-08,0.876,0.0,6.0,6.709707602949735e-06,0.0,4.595622243175362e-05,5.2665930034703355e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_9929990_9933640.wav,2025-01-26T13:24:59,experiment_3,63c66e27-c9c0-48c4-a1fb-b9f5e134b65c,31.61287045798963,1.515949207443269e-06,4.795751162002748e-08,1.3025,0.0,6.0,8.989254462843867e-06,0.0,4.1407993125030786e-05,5.039724758787461e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_9933640_9937840.wav,2025-01-26T13:25:37,experiment_3,63c66e27-c9c0-48c4-a1fb-b9f5e134b65c,31.424886249995325,1.409140513064276e-06,4.4844078519455435e-08,0.7992000000000001,0.0,6.0,5.506566282746035e-06,0.0,4.133986034838015e-05,4.684642663112617e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_9937840_9941080.wav,2025-01-26T13:26:16,experiment_3,63c66e27-c9c0-48c4-a1fb-b9f5e134b65c,32.24842045799596,1.3695668613485205e-06,4.2473192706353375e-08,0.3597,0.0027999999999999995,6.0,2.573949482339327e-06,2.259101911109691e-08,4.293427270827426e-05,4.553081320972472e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_9941080_9945690.wav,2025-01-26T13:26:55,experiment_3,63c66e27-c9c0-48c4-a1fb-b9f5e134b65c,32.76615525002126,1.7494834089238316e-06,5.3397983641991666e-08,1.9535999999999998,0.010199999999999999,6.0,1.4265407183496352e-05,8.373845538390256e-08,4.3811871945023716e-05,5.816101758390399e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_9945690_9950970.wav,2025-01-26T13:27:57,experiment_3,63c66e27-c9c0-48c4-a1fb-b9f5e134b65c,55.355948832992,2.7278805412898117e-06,4.9281657740075474e-08,0.7052,0.0,6.0,9.537846675037969e-06,0.0,8.114967131996916e-05,9.068751799500707e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
