task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
20171219/audio/20171219-095511_22057900_22082560.wav,2025-01-27T09:59:41,experiment_3,651b0bd1-44ad-4a3d-b6d5-4e188b56ba45,35.53683266695589,1.6205803261612283e-06,4.560647006217013e-08,0.6820999999999999,0.022299999999999997,6.0,5.4792540451642035e-06,1.9979328819451943e-07,4.819662840338424e-05,5.3875675736742964e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_22082560_22098720.wav,2025-01-27T10:00:25,experiment_3,651b0bd1-44ad-4a3d-b6d5-4e188b56ba45,37.72500812495127,1.822843455326468e-06,4.832053050763803e-08,0.8747999999999999,0.129,6.0,7.554251757456803e-06,1.2338433362955885e-06,5.181175382002644e-05,6.059984891377885e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_22098720_22103060.wav,2025-01-27T10:00:43,experiment_3,651b0bd1-44ad-4a3d-b6d5-4e188b56ba45,11.2854650420486,2.508318487016204e-07,2.223162871117795e-08,0.29439999999999994,0.006399999999999999,6.0,3.893800844430103e-07,1.4373074593746772e-08,7.93507159833098e-06,8.338824757367708e-06,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_22103060_22105020.wav,2025-01-27T10:01:46,experiment_3,651b0bd1-44ad-4a3d-b6d5-4e188b56ba45,56.29286804096773,2.6129115846849533e-06,4.6419077008176146e-08,0.26680000000000004,0.011,6.0,3.6912809249174133e-06,1.6219628498950937e-07,8.301193451499178e-05,8.686541172489871e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_22105020_22108480.wav,2025-01-27T10:02:26,experiment_3,651b0bd1-44ad-4a3d-b6d5-4e188b56ba45,33.54540541599272,1.7102045448887262e-06,5.098768701085756e-08,1.7451,0.052700000000000004,6.0,1.2713422758314336e-05,4.312565265867434e-07,4.3710524999963425e-05,5.685520428486455e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_22108480_22114880.wav,2025-01-27T10:03:07,experiment_3,651b0bd1-44ad-4a3d-b6d5-4e188b56ba45,33.47146520903334,2.1942266114010864e-06,6.556158044162024e-08,3.791899999999999,0.008299999999999998,6.0,2.822173946303329e-05,6.96956829228307e-08,4.465492826498423e-05,7.294636341094034e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_22114880_22128310.wav,2025-01-27T10:03:47,experiment_3,651b0bd1-44ad-4a3d-b6d5-4e188b56ba45,34.073562624980696,1.4604326764976962e-06,4.286523094951337e-08,0.37700000000000006,0.0165,6.0,2.862012403946008e-06,1.4125666404664415e-07,4.554834916663822e-05,4.855161823463084e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_22128310_22131840.wav,2025-01-27T10:04:08,experiment_3,651b0bd1-44ad-4a3d-b6d5-4e188b56ba45,14.288102958991658,4.1374576571256207e-07,2.896257485315012e-08,0.28609999999999997,0.0018,6.0,6.257952586737007e-07,5.538175895489882e-09,1.3123512500023949e-05,1.3754845934593144e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_22131840_22139630.wav,2025-01-27T10:04:48,experiment_3,651b0bd1-44ad-4a3d-b6d5-4e188b56ba45,33.65175750001799,1.4054248644521298e-06,4.176771725393302e-08,0.18960000000000002,0.0045000000000000005,6.0,1.4300756959994003e-06,3.803899286496748e-08,4.5254786389996304e-05,4.672290107886069e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
20171219/audio/20171219-095511_22139630_22150140.wav,2025-01-27T10:05:34,experiment_3,651b0bd1-44ad-4a3d-b6d5-4e188b56ba45,39.4999910829938,1.8690465953876742e-06,4.732283674458784e-08,0.9193999999999999,0.0036,6.0,8.251488135569101e-06,3.5645535541989524e-08,5.3848723888319625e-05,6.21358575594307e-05,Norway,NOR,trøndelag,,,macOS-13.4.1-arm64-arm-64bit,3.12.5,2.8.3,8,Apple M1,1,Apple M1,10.4037,63.4306,16.0,machine,N
