task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
20171219/audio/20171219-095511_17972710_17977750.wav,2025-03-07T18:18:59,experiment_29,8d3b106a-74a4-45f4-9c27-0151833e681d,1.1167637000326067,4.054961911300449e-06,3.630417611832746e-06,70.0,84.1779208589949,282.94398021698,2.1593684739976503e-05,2.5969187440466612e-05,8.724304242396009e-05,0.00013480591460440322,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_17977750_17982690.wav,2025-03-07T18:19:05,experiment_29,8d3b106a-74a4-45f4-9c27-0151833e681d,5.447198684094474,2.2190158813490336e-05,4.0741128915198054e-06,70.0,134.86175694828546,282.94398021698,0.00010586987045891067,0.00020397238539970886,0.00042786249193028784,0.0007377047477889075,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_17982690_17993490.wav,2025-03-07T18:19:11,experiment_29,8d3b106a-74a4-45f4-9c27-0151833e681d,5.742110803956166,2.409980711731325e-05,4.197421353937583e-06,70.0,149.45057933573918,282.94398021698,0.000111641160770604,0.00023835907957447944,0.000451190155842192,0.0008011903961872755,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_17993490_17998950.wav,2025-03-07T18:19:17,experiment_29,8d3b106a-74a4-45f4-9c27-0151833e681d,5.124946338124573,2.1686037291630974e-05,4.231742790781163e-06,70.0,153.58967560750747,282.94398021698,9.963861736080919e-05,0.00021862517490234268,0.0004026815964213886,0.0007209453886845407,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_17998950_18002600.wav,2025-03-07T18:19:22,experiment_29,8d3b106a-74a4-45f4-9c27-0151833e681d,4.715791821945459,1.991855501638438e-05,4.2242406659351275e-06,70.0,152.68927415934945,282.94398021698,9.168284585854661e-05,0.00019998960443956548,0.000370513554235943,0.0006621860045340549,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_18002600_18007680.wav,2025-03-07T18:19:27,experiment_29,8d3b106a-74a4-45f4-9c27-0151833e681d,5.098519729217514,2.153467692449259e-05,4.2240819140499675e-06,70.0,152.69057309026707,282.94398021698,9.91204382974603e-05,0.00021621517297276682,0.0004005778503152978,0.0007159134615855249,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_18007680_18015240.wav,2025-03-07T18:19:34,experiment_29,8d3b106a-74a4-45f4-9c27-0151833e681d,6.605538540985435,2.888652405970555e-05,4.373374094884983e-06,70.0,170.54298720455125,282.94398021698,0.00012842239305027765,0.00031288330586320967,0.0005190175743480002,0.000960323273261488,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_18015240_18021980.wav,2025-03-07T18:19:41,experiment_29,8d3b106a-74a4-45f4-9c27-0151833e681d,6.471901130862534,2.7778787842591598e-05,4.292203673850142e-06,70.0,160.72575343302995,282.94398021698,0.0001258530028778801,0.0002889716200655812,0.0005086723133129085,0.0009234969362563695,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_18021980_18026510.wav,2025-03-07T18:19:47,experiment_29,8d3b106a-74a4-45f4-9c27-0151833e681d,4.779762201011181,2.022084847675052e-05,4.230971802799911e-06,70.0,153.3612978517215,282.94398021698,9.294923540243566e-05,0.00020364460736388423,0.000375641811380971,0.0006722356541472912,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_18026510_18033380.wav,2025-03-07T18:19:52,experiment_29,8d3b106a-74a4-45f4-9c27-0151833e681d,5.292866226052865,2.2458257121196344e-05,4.243605047030675e-06,70.0,155.106504964237,282.94398021698,0.00010287965214875942,0.00022796573792405184,0.000415772200392493,0.000746617590465304,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
