task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
20171219/audio/20171219-095511_8389960_8403030.wav,2025-03-26T12:40:32,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,0.5504106390289962,1.9845845335402505e-06,3.6046750190267507e-06,70.0,82.7256735943889,282.94398021698,1.0606160721120736e-05,1.2536121140271916e-05,4.283459757811036e-05,6.597687943950301e-05,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_8403030_8403870.wav,2025-03-26T12:40:40,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,6.966238917317241,2.9948555857656838e-05,4.299018915160047e-06,70.0,161.55775939407292,282.94398021698,0.00013546499012865955,0.0003126524723455759,0.0005475127189638246,0.0009956301814380598,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_8403870_8407260.wav,2025-03-26T12:40:46,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,4.9298852882348,2.1437367843756775e-05,4.3483464234924005e-06,70.0,167.29735972120366,282.94398021698,9.589827763071906e-05,0.00022919685002165124,0.00038758332460018185,0.0007126784522525523,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_8419300_8421600.wav,2025-03-26T12:40:52,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,4.2586863110773265,1.8223555826140347e-05,4.278976271930891e-06,70.0,159.21312973736727,282.94398021698,8.280875043840044e-05,0.00018834959512759042,0.0003346779518455902,0.0006058362974115808,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_8423050_8425480.wav,2025-03-26T12:40:57,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,4.774597467854619,2.099765346999963e-05,4.39791924745453e-06,70.0,173.47340044465514,282.94398021698,9.283266360354093e-05,0.00023006157293536944,0.00037516605169246034,0.0006980602882313705,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_8425500_8439960.wav,2025-03-26T12:41:05,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,7.1013046517036855,3.083728129673623e-05,4.342676589714793e-06,70.0,166.81464843509875,282.94398021698,0.00013807732041718233,0.0003290516521232689,0.0005580466024840251,0.0010251755750244756,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_8439960_8443580.wav,2025-03-26T12:41:12,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,5.383869505953044,2.359091808177877e-05,4.3818518199922976e-06,70.0,171.24803583440922,282.94398021698,0.00010473733649382167,0.00025623353832315843,0.0004233016677953473,0.0007842725426123265,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_8443580_8458160.wav,2025-03-26T12:41:22,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,8.413647111039609,3.7156498836127944e-05,4.416352145764589e-06,70.0,175.75573040166984,282.94398021698,0.00016355411012320678,0.0004106550507358975,0.0006610467844908943,0.0012352559453499981,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_8458160_8469640.wav,2025-03-26T12:41:30,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,7.626912138890475,3.392549444945517e-05,4.4482993169532304e-06,70.0,179.4827351620767,282.94398021698,0.0001482890901582626,0.00038022363751366584,0.0005993295080147462,0.0011278422356866746,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_8469640_8478800.wav,2025-03-26T12:41:38,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,6.454326958861202,2.805582555436264e-05,4.347043807404363e-06,70.0,167.36628760299232,282.94398021698,0.00012549040556316163,0.000300044962258994,0.0005071715987457525,0.0009327069665679075,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_8478800_8485370.wav,2025-03-26T12:41:45,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,6.0142958499491215,2.656771616385816e-05,4.417486308368035e-06,70.0,175.79115854141963,282.94398021698,0.0001169397244398069,0.00029367495716314806,0.0004726205632061588,0.0008832352448091135,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_8485370_8495280.wav,2025-03-26T12:41:52,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,6.565729110967368,2.9042661342957893e-05,4.423400148599782e-06,70.0,176.49100715416867,282.94398021698,0.00012766183376855533,0.0003218774797275614,0.0005159746939160468,0.0009655140074121635,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_8495280_8502100.wav,2025-03-26T12:41:57,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,4.202789090108126,1.7886304221999315e-05,4.256065221956165e-06,70.0,156.18453500766827,282.94398021698,8.176348669739018e-05,0.0001824351459447371,0.0003304258428232735,0.0005946244754654016,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_8502100_8510100.wav,2025-03-26T12:42:05,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,6.3930746777914464,2.8203896739458596e-05,4.411581476103072e-06,70.0,175.17641962301218,282.94398021698,0.00012428545116627992,0.00031103052659631203,0.0005023135680970684,0.0009376295458596601,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_8510100_8521420.wav,2025-03-26T12:42:12,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,6.34082538401708,2.7861798007141876e-05,4.394208176704775e-06,70.0,172.7852249499072,282.94398021698,0.0001233359986424654,0.00030444163243714684,0.0004984789516046251,0.000926256582684238,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_8521420_8527870.wav,2025-03-26T12:42:18,experiment_38,9dd82d17-06d4-4479-84ab-a9fd2fc4e080,5.047715425025672,2.214209136515438e-05,4.386458272270047e-06,70.0,172.14959290906103,282.94398021698,9.81355613524405e-05,0.00024134630418615188,0.00039662489527106035,0.0007361067608096534,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
