task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
20171122/audio/20171122-095628_4586404_4587272.wav,2025-04-12T15:32:38,experiment_52,c4ef495e-a603-4cb8-abeb-d5d68572f4de,0.2790913777425885,1.0107657168955748e-06,3.6188686211672236e-06,70.0,87.68772385263068,282.94398021698,5.34347780307548e-06,6.6955609128172e-06,2.1563544957497443e-05,3.360258367339012e-05,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_4587272_4589448.wav,2025-04-12T15:32:40,experiment_52,c4ef495e-a603-4cb8-abeb-d5d68572f4de,2.0484644612297416,8.030017817123276e-06,3.920491672150435e-06,70.0,116.43648437172754,282.94398021698,3.981882915573402e-05,6.62367196397895e-05,0.00016089983076309606,0.0002669553795586196,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_4589448_4597764.wav,2025-04-12T15:32:42,experiment_52,c4ef495e-a603-4cb8-abeb-d5d68572f4de,1.9813041109591722,8.174869457828357e-06,4.125854750347844e-06,70.0,140.89114944929477,282.94398021698,3.852726484959325e-05,7.754839536744385e-05,0.00015569526590757593,0.000271770926124613,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_4597764_4609463.wav,2025-04-12T15:32:45,experiment_52,c4ef495e-a603-4cb8-abeb-d5d68572f4de,1.9621107028797269,8.043276701760345e-06,4.100077123614773e-06,70.0,137.96722908628084,282.94398021698,3.8136731377906265e-05,7.516978236310479e-05,0.00015408965320580888,0.0002673961669468199,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_4609463_4611382.wav,2025-04-12T15:32:47,experiment_52,c4ef495e-a603-4cb8-abeb-d5d68572f4de,1.8126292387023568,7.963648393562736e-06,4.393472346961034e-06,70.0,172.9808323583046,282.94398021698,3.5241734971188846e-05,8.709145854624012e-05,0.00014241575573665133,0.00026474894925408027,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_4611382_4627161.wav,2025-04-12T15:32:49,experiment_52,c4ef495e-a603-4cb8-abeb-d5d68572f4de,1.9067894974723458,7.946840015604494e-06,4.168652421258591e-06,70.0,146.50064917015754,282.94398021698,3.7035987746073966e-05,7.751506201003622e-05,0.00014963911033712444,0.00026419016009323454,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_4627161_4640353.wav,2025-04-12T15:32:51,experiment_52,c4ef495e-a603-4cb8-abeb-d5d68572f4de,2.4159472305327654,1.0478781919220856e-05,4.337362433401772e-06,70.0,166.24599267173622,282.94398021698,4.697227726638731e-05,0.000111559811479367,0.0001898316718666412,0.0003483637606123955,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_4640353_4651801.wav,2025-04-12T15:32:54,experiment_52,c4ef495e-a603-4cb8-abeb-d5d68572f4de,2.3631305200979114,1.0217210936576515e-05,4.320118045048378e-06,70.0,164.26648742208448,282.94398021698,4.5978394849225865e-05,0.00010790008632000081,0.00018578943560525858,0.0003396679167744854,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_4651801_4654375.wav,2025-04-12T15:32:56,experiment_52,c4ef495e-a603-4cb8-abeb-d5d68572f4de,2.2820922154933214,1.0228756385559192e-05,4.482491882072038e-06,70.0,183.6365586490602,282.94398021698,4.436632165323118e-05,0.00011639314868006068,0.00017929227120790482,0.00034005174154119657,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_4654375_4667014.wav,2025-04-12T15:33:00,experiment_52,c4ef495e-a603-4cb8-abeb-d5d68572f4de,2.841997727751732,1.2538836972674159e-05,4.41246543283367e-06,70.0,175.27128943527484,282.94398021698,5.5247672768827106e-05,0.00013833761065029648,0.00022326434998094823,0.00041684963340007193,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
