task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
20171219/audio/20171219-095511_1818620_1829570.wav,2025-04-19T13:07:57,experiment_56,f3005991-9e59-42ba-b587-ebedfdf0544a,5.321336384862661,2.1230225777961216e-05,3.989620526148594e-06,70.0,124.93783696114524,282.94398021698,0.00010339033607548725,0.00018453709206767144,0.00041786465224119025,0.0007057920803843489,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_1829570_1835400.wav,2025-04-19T13:08:01,experiment_56,f3005991-9e59-42ba-b587-ebedfdf0544a,4.106684540398419,1.767198939517917e-05,4.3036475828426595e-06,70.0,161.84257572895964,282.94398021698,7.98947675076003e-05,0.00018472348111941983,0.000322881398819096,0.000587499647446116,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_1835400_1851450.wav,2025-04-19T13:08:06,experiment_56,f3005991-9e59-42ba-b587-ebedfdf0544a,4.997232949361205,2.103212591188725e-05,4.208921579706193e-06,70.0,150.8328833894339,282.94398021698,9.715993000556611e-05,0.00020935877861205654,0.0003926876049424587,0.0006992063135600815,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_1851450_1857590.wav,2025-04-19T13:08:11,experiment_56,f3005991-9e59-42ba-b587-ebedfdf0544a,4.109967608936131,1.796995728069098e-05,4.372870040930836e-06,70.0,171.19653997132505,282.94398021698,7.979377145206351e-05,0.00019515321167773436,0.0003224585115740241,0.0005974054947038222,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_1862330_1863410.wav,2025-04-19T13:08:15,experiment_56,f3005991-9e59-42ba-b587-ebedfdf0544a,3.7271536448970437,1.6397646853935025e-05,4.400058598372773e-06,70.0,173.69042758239743,282.94398021698,7.246629669227533e-05,0.00017981431051339314,0.0002928539291618519,0.0005451345363675208,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_1863410_1869050.wav,2025-04-19T13:08:19,experiment_56,f3005991-9e59-42ba-b587-ebedfdf0544a,4.2284399243071675,1.8045673318774658e-05,4.267782467163208e-06,70.0,157.71630945782715,282.94398021698,8.223992567250713e-05,0.00018529681489098948,0.0003323859096617248,0.0005999226502252215,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_1869050_1881840.wav,2025-04-19T13:08:24,experiment_56,f3005991-9e59-42ba-b587-ebedfdf0544a,5.053552930243313,2.15505737595323e-05,4.264696790077926e-06,70.0,157.84593019887046,282.94398021698,9.818875477649275e-05,0.00022141295490030188,0.0003968402371161673,0.0007164419467929626,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_1881840_1887240.wav,2025-04-19T13:08:29,experiment_56,f3005991-9e59-42ba-b587-ebedfdf0544a,4.518176183104515,1.968442604582241e-05,4.356960533350278e-06,70.0,168.79886792595997,282.94398021698,8.78042943542823e-05,0.00021173683607855764,0.0003548613311968943,0.0006544024616297345,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_1887240_1897300.wav,2025-04-19T13:08:34,experiment_56,f3005991-9e59-42ba-b587-ebedfdf0544a,5.094249986112118,2.1532148862972618e-05,4.227191855299564e-06,70.0,153.03418300267663,282.94398021698,9.904031883925198e-05,0.00021652545098760356,0.0004002636471602673,0.0007158294169871222,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_1897300_1898570.wav,2025-04-19T13:08:39,experiment_56,f3005991-9e59-42ba-b587-ebedfdf0544a,4.165891446173191,1.8452092913130903e-05,4.429907401308986e-06,70.0,176.9290017520356,282.94398021698,8.104647672476457e-05,0.0002048554416731463,0.00032753202153330266,0.0006134339399312136,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
