task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
20170207/audio/20170207-095506_302650_306000.wav,2025-02-04T11:18:30,experiment_7,01b50d8a-9cbe-41b3-9fa4-e5c8118493aa,27.123162595089525,0.00012065901270462786,4.4485429325098725e-06,70.0,179.50247057782119,282.948091506958,0.0005273635804109897,0.0013523402485375868,0.002131566540221233,0.004011270369169809,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20170207/audio/20170207-095506_306010_314020.wav,2025-02-04T11:19:52,experiment_7,01b50d8a-9cbe-41b3-9fa4-e5c8118493aa,81.39574669394642,0.00037359571129437117,4.589900587563261e-06,70.0,196.3757640876892,282.948091506958,0.0015826877966859483,0.004440027440910654,0.00639735495171095,0.012420070189307552,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20170207/audio/20170207-095506_314020_316850.wav,2025-02-04T11:20:05,experiment_7,01b50d8a-9cbe-41b3-9fa4-e5c8118493aa,11.116101371124387,5.0672730464249396e-05,4.558527051344508e-06,70.0,192.68060778247434,282.948091506958,0.00021613290573651396,0.0005949340870579078,0.0008735317593415292,0.0016845987521359532,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20170207/audio/20170207-095506_316850_319910.wav,2025-02-04T11:20:08,experiment_7,01b50d8a-9cbe-41b3-9fa4-e5c8118493aa,3.1084515769034624,1.3101506710670014e-05,4.21509452314777e-06,70.0,152.08534700462226,282.948091506958,6.038091668807404e-05,0.00013119371606862273,0.00024398077650759908,0.00043555540926429673,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20170207/audio/20170207-095506_319910_323640.wav,2025-02-04T11:20:12,experiment_7,01b50d8a-9cbe-41b3-9fa4-e5c8118493aa,3.014558471739292,1.2609802626015795e-05,4.183097171723503e-06,70.0,147.80444430872885,282.948091506958,5.8613968195600843e-05,0.00012377037680622038,0.00023682451889498433,0.0004192088638968021,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20170207/audio/20170207-095506_323640_326500.wav,2025-02-04T11:20:37,experiment_7,01b50d8a-9cbe-41b3-9fa4-e5c8118493aa,23.567944406997412,0.0001103313498524573,4.681430239638141e-06,70.0,207.44532308579377,282.948091506958,0.00045818065084232435,0.001357832197385278,0.0018519176654844104,0.0036679305137120102,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20170207/audio/20170207-095506_326500_330050.wav,2025-02-04T11:20:41,experiment_7,01b50d8a-9cbe-41b3-9fa4-e5c8118493aa,3.7559033390134573,1.60218989597407e-05,4.266135534915497e-06,70.0,157.18946304286698,282.948091506958,7.3098774914009e-05,0.00016415540910941218,0.0002953887335211524,0.0005326429175445714,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20170207/audio/20170207-095506_330050_334620.wav,2025-02-04T11:20:44,experiment_7,01b50d8a-9cbe-41b3-9fa4-e5c8118493aa,1.5187406903132796,6.376489684859605e-06,4.199779303079558e-06,70.0,150.9748254519473,282.948091506958,2.9462167248129906e-05,6.355227306897859e-05,0.00011896992420614913,0.0002119843645232572,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20170207/audio/20170207-095506_334620_337340.wav,2025-02-04T11:21:25,experiment_7,01b50d8a-9cbe-41b3-9fa4-e5c8118493aa,40.82332163210958,0.00018978603259203134,4.649008971543852e-06,70.0,203.47157558914068,282.948091506958,0.0007937589444388222,0.00230725934581244,0.0032083577932604194,0.006309376083511682,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20170207/audio/20170207-095506_337340_340830.wav,2025-02-04T11:21:53,experiment_7,01b50d8a-9cbe-41b3-9fa4-e5c8118493aa,26.252316450234503,0.00012056744341217658,4.592676310501444e-06,70.0,196.6809783495125,282.948091506958,0.0005104926907315128,0.0014343561474809974,0.002063377339054,0.004008226177266511,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
