task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
20171122/audio/20171122-095628_3847585_3849055.wav,2025-03-17T12:26:03,experiment_36,553a4489-5b2d-44a4-8794-069c12bd831c,0.42079720506444573,1.5413338646763175e-06,3.6608631627746438e-06,70.0,81.9604065682291,282.94398021698,8.25305009364254e-06,9.665007734582787e-06,3.332309458787565e-05,5.124115241610098e-05,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_3850000_3863723.wav,2025-03-17T12:26:12,experiment_36,553a4489-5b2d-44a4-8794-069c12bd831c,7.8006381993182,3.431862883036733e-05,4.399361281855341e-06,70.0,173.5970900968178,282.94398021698,0.00015168154201625536,0.00037616752315372537,0.000613062797541699,0.0011409118627116795,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_3863723_3884690.wav,2025-03-17T12:26:21,experiment_36,553a4489-5b2d-44a4-8794-069c12bd831c,8.04154697805643,3.658008179818982e-05,4.549026170201179e-06,70.0,191.23674634839603,282.94398021698,0.00015643691040911816,0.00042738367523398324,0.000632272559243528,0.0012160931448866295,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_3884690_3903734.wav,2025-03-17T12:26:31,experiment_36,553a4489-5b2d-44a4-8794-069c12bd831c,8.427949268836528,3.7981033063832624e-05,4.506714926035676e-06,70.0,186.5707680735214,282.94398021698,0.00016383494116081342,0.0004366734049021659,0.000662158976537839,0.0012626673226008188,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_3903734_3906287.wav,2025-03-17T12:26:39,experiment_36,553a4489-5b2d-44a4-8794-069c12bd831c,6.316896392032504,2.8459885788256878e-05,4.505535465695499e-06,70.0,186.37781614724634,282.94398021698,0.00012280937398447553,0.0003269897060320659,0.0004963407400717865,0.000946139820088327,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_3906287_3908580.wav,2025-03-17T12:26:48,experiment_36,553a4489-5b2d-44a4-8794-069c12bd831c,7.3932000934146345,3.3757263652078396e-05,4.565965536782887e-06,70.0,193.67518858000716,282.94398021698,0.00014372242612557275,0.00039765448478945586,0.0005808725456035342,0.001122249456518563,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_3908580_3914353.wav,2025-03-17T12:26:57,experiment_36,553a4489-5b2d-44a4-8794-069c12bd831c,8.18095404887572,3.734357780752853e-05,4.564756658623357e-06,70.0,193.25612059288238,282.94398021698,0.00015911266795333684,0.00043928340698329293,0.0006430792511115274,0.001241475326048157,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_3914353_3915955.wav,2025-03-17T12:27:04,experiment_36,553a4489-5b2d-44a4-8794-069c12bd831c,6.11365448217839,2.7876901001109796e-05,4.55986344321132e-06,70.0,192.8485529542469,282.94398021698,0.00011886788868707503,0.0003274833175375136,0.00048040747067400755,0.0009267586768985968,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_3915955_3918294.wav,2025-03-17T12:27:15,experiment_36,553a4489-5b2d-44a4-8794-069c12bd831c,8.685657972935587,3.986194202534754e-05,4.589304502839525e-06,70.0,196.19175819572393,282.94398021698,0.0001689328320764211,0.00047347871211655956,0.0006827859965433053,0.0013251975407362875,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171122/audio/20171122-095628_3927286_3928279.wav,2025-03-17T12:27:38,experiment_36,553a4489-5b2d-44a4-8794-069c12bd831c,22.11834085173905,0.00010243819655187829,4.63136157734171e-06,70.0,201.35166427468303,282.94398021698,0.00043007763996590976,0.0012371023785675561,0.0017383451327922734,0.0034055251513257397,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
