task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
20171219/audio/20171219-095511_7398780_7417600.wav,2025-03-24T22:31:35,experiment_40,7424fc5d-f715-4fd8-ae1f-a93fbf82f29d,1.1633813888765872,4.214681406587187e-06,3.6230773290151203e-06,70.0,80.73784218944515,282.94398021698,2.262724292231724e-05,2.6100576441479006e-05,9.13879188871076e-05,0.00014011573825090383,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_7417600_7418710.wav,2025-03-24T22:32:00,experiment_40,7424fc5d-f715-4fd8-ae1f-a93fbf82f29d,25.243855801876634,0.00011382078721437975,4.508952172861858e-06,70.0,186.69523292423463,282.94398021698,0.0004908466626618368,0.0013091296584128997,0.0019839594240841645,0.003783935745158901,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_7418710_7427480.wav,2025-03-24T22:32:11,experiment_40,7424fc5d-f715-4fd8-ae1f-a93fbf82f29d,9.761097579728812,4.2913992867504386e-05,4.396590422488028e-06,70.0,173.26462004173715,282.94398021698,0.00018979222400553736,0.00046978037582690035,0.0007670893970925753,0.001426661996925013,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_7427480_7436580.wav,2025-03-24T22:32:21,experiment_40,7424fc5d-f715-4fd8-ae1f-a93fbf82f29d,9.601705695036799,4.1821537369119164e-05,4.355715578336003e-06,70.0,168.38326718227532,282.94398021698,0.00018669412502268746,0.0004490917481625445,0.0007545577893519739,0.0013903436625372061,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_7436580_7449230.wav,2025-03-24T22:32:32,experiment_40,7424fc5d-f715-4fd8-ae1f-a93fbf82f29d,10.798713816795498,4.7250485190156074e-05,4.3757510079731015e-06,70.0,170.7876943083123,282.94398021698,0.00020995967781507524,0.0005122690209269365,0.0008485986014626456,0.0015708273002046566,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_7449230_7461590.wav,2025-03-24T22:32:45,experiment_40,7424fc5d-f715-4fd8-ae1f-a93fbf82f29d,12.79178178217262,5.703890185541411e-05,4.459077875835038e-06,70.0,180.74965750059346,282.94398021698,0.000248719288685566,0.0006422316248908544,0.0010052891747019746,0.0018962400882783954,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_7461590_7479760.wav,2025-03-24T22:32:58,experiment_40,7424fc5d-f715-4fd8-ae1f-a93fbf82f29d,11.775233109015971,5.1470771525878145e-05,4.371251644131608e-06,70.0,170.24295355193132,282.94398021698,0.00022894920817214163,0.0005568182232345009,0.000925361941129201,0.001711129372535843,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_7479760_7483520.wav,2025-03-24T22:33:10,experiment_40,7424fc5d-f715-4fd8-ae1f-a93fbf82f29d,11.514059882611036,5.0732109289695134e-05,4.406170715539548e-06,70.0,174.32663018490948,282.94398021698,0.00022391330081348616,0.000557632390545848,0.0009050270908778704,0.0016865727822372046,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_7487800_7489150.wav,2025-03-24T22:33:19,experiment_40,7424fc5d-f715-4fd8-ae1f-a93fbf82f29d,9.401136332657188,4.1242901812048414e-05,4.38712333521255e-06,70.0,172.26514679897227,282.94398021698,0.00018274790331229782,0.00044973341534060296,0.0007386257894604125,0.0013711071081133133,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20171219/audio/20171219-095511_7489150_7496620.wav,2025-03-24T22:33:32,experiment_40,7424fc5d-f715-4fd8-ae1f-a93fbf82f29d,12.18682584213093,5.435649057707227e-05,4.4604059336478785e-06,70.0,180.9091705618062,282.94398021698,0.00023695304348366353,0.0006123888232387742,0.0009577223146961904,0.0018070641814186272,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
