task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
20170207/audio/20170207-095506_302650_306000.wav,2025-04-10T22:36:18,experiment_51,88b9f681-4b81-42da-a938-4c465aca1bdf,9.007772590965033,3.420708146004263e-05,3.797565489155502e-06,70.0,101.69204956482369,282.94398021698,0.00017509911273243942,0.00025437631460079047,0.0007077280786522298,0.0011372035059854597,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20170207/audio/20170207-095506_306010_314020.wav,2025-04-10T22:36:22,experiment_51,88b9f681-4b81-42da-a938-4c465aca1bdf,4.200754733756185,1.8167804255344408e-05,4.325271187446506e-06,70.0,165.30890785926763,282.94398021698,8.159140600150244e-05,0.00019268709861819389,0.0003297043496138278,0.0006039828542335241,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20170207/audio/20170207-095506_314020_316850.wav,2025-04-10T22:36:25,experiment_51,88b9f681-4b81-42da-a938-4c465aca1bdf,3.169189555570483,1.3913846808601268e-05,4.390485225080275e-06,70.0,172.28737754104668,282.94398021698,6.165173903314606e-05,0.0001517434547295693,0.00024916620279982695,0.00046256139656254236,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20170207/audio/20170207-095506_316850_319910.wav,2025-04-10T22:36:29,experiment_51,88b9f681-4b81-42da-a938-4c465aca1bdf,3.0876843659207225,1.3904578466043412e-05,4.5037448644311905e-06,70.0,186.15323883221356,282.94398021698,6.0025908265055894e-05,0.00015963234992000253,0.0002425950152871296,0.0004622532734721882,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20170207/audio/20170207-095506_319910_323640.wav,2025-04-10T22:36:31,experiment_51,88b9f681-4b81-42da-a938-4c465aca1bdf,2.764398943632841,1.1993357482993435e-05,4.339215812499089e-06,70.0,167.09073981978457,282.94398021698,5.368045726532322e-05,0.00012814121362936248,0.0002168936709601489,0.0003987153418548348,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20170207/audio/20170207-095506_323640_326500.wav,2025-04-10T22:36:34,experiment_51,88b9f681-4b81-42da-a938-4c465aca1bdf,2.9673823565244675,1.309572978736221e-05,4.4136358206120985e-06,70.0,175.6676639691884,282.94398021698,5.765553808305418e-05,0.00014469206019640524,0.00023301575901316768,0.0004353633572926267,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20170207/audio/20170207-095506_326500_330050.wav,2025-04-10T22:36:37,experiment_51,88b9f681-4b81-42da-a938-4c465aca1bdf,2.7996716015040874,1.2413403133797575e-05,4.4340634526916765e-06,70.0,177.95516869379117,282.94398021698,5.441636590597528e-05,0.00013834149957148156,0.00021992175998123862,0.0004126796254586961,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20170207/audio/20170207-095506_330050_334620.wav,2025-04-10T22:36:40,experiment_51,88b9f681-4b81-42da-a938-4c465aca1bdf,3.0168025800958276,1.3453599862569104e-05,4.459762584149924e-06,70.0,180.90310463609913,282.94398021698,5.865034446016779e-05,0.00015157512124375216,0.000237035168025106,0.0004472606337290264,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20170207/audio/20170207-095506_334620_337340.wav,2025-04-10T22:36:44,experiment_51,88b9f681-4b81-42da-a938-4c465aca1bdf,3.33880936447531,1.5053941112338267e-05,4.510895779019219e-06,70.0,187.12139388572055,282.94398021698,6.487054633390571e-05,0.00017341291650296853,0.00026218000499352067,0.0005004634678303947,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
20170207/audio/20170207-095506_337340_340830.wav,2025-04-10T22:36:47,experiment_51,88b9f681-4b81-42da-a938-4c465aca1bdf,3.008471612818539,1.3432244617198692e-05,4.46534557209512e-06,70.0,181.45198165966823,282.94398021698,5.849904481373318e-05,0.00015164373242271267,0.00023640790817574435,0.00044655068541219096,Norway,NOR,trøndelag,,,Linux-6.8.0-53-generic-x86_64-with-glibc2.39,3.12.3,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5172805786133,machine,N
