task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
20171122/audio/20171122-095628_2268765_2277986.wav,2025-02-05T21:48:35,experiment_7,de9a15a1-1925-4b21-b380-c50c0dc37627,50.32669968763366,0.00023269684462585887,4.623742252115928e-06,70.0,200.42250496599846,282.948091506958,0.0009785800659240017,0.0028018536303662245,0.003955498638346039,0.007735932334636266,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20171122/audio/20171122-095628_2278889_2280551.wav,2025-02-05T21:48:45,experiment_7,de9a15a1-1925-4b21-b380-c50c0dc37627,9.242018830031157,3.976735062729509e-05,4.3030647973718835e-06,70.0,161.91985497044922,282.948091506958,0.00017975083729122876,0.0004157925548575747,0.0007265094877479759,0.0013220528798967793,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20171122/audio/20171122-095628_2280551_2282823.wav,2025-02-05T21:49:13,experiment_7,de9a15a1-1925-4b21-b380-c50c0dc37627,27.05979549419135,0.0001253188600978911,4.631220825422227e-06,70.0,201.33475040992985,282.948091506958,0.0005261520233639104,0.0015133284328818775,0.0021267050523277207,0.004166185508573507,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20171122/audio/20171122-095628_2291541_2292784.wav,2025-02-05T21:49:40,experiment_7,de9a15a1-1925-4b21-b380-c50c0dc37627,25.739703513216227,0.00011854904053505423,4.605625649163839e-06,70.0,198.3286560128933,282.948091506958,0.0005004418345051819,0.001417888912083498,0.002022794271199029,0.003941125017787709,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20171122/audio/20171122-095628_2293099_2295016.wav,2025-02-05T21:50:04,experiment_7,de9a15a1-1925-4b21-b380-c50c0dc37627,23.587391749955714,0.00011074555627802038,4.695173013745474e-06,70.0,208.8197011510852,282.948091506958,0.00045877144189499734,0.0013685830393086462,0.001854346192932673,0.0036817006741363158,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20171122/audio/20171122-095628_2295016_2299182.wav,2025-02-05T21:50:09,experiment_7,de9a15a1-1925-4b21-b380-c50c0dc37627,4.0031838291324675,1.726456868186301e-05,4.312914076810188e-06,70.0,163.06921129795637,282.948091506958,7.786526105935804e-05,0.000181394589553463,0.00031469522524698625,0.0005739550758598055,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20171122/audio/20171122-095628_2299182_2307696.wav,2025-02-05T21:50:16,experiment_7,de9a15a1-1925-4b21-b380-c50c0dc37627,6.312446076888591,2.7466504384230424e-05,4.351308746223803e-06,70.0,167.83940603824917,282.948091506958,0.00012273903716640121,0.0002942949576549836,0.0004960811775267006,0.0009131151723480863,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20171122/audio/20171122-095628_2307696_2317961.wav,2025-02-05T21:50:42,experiment_7,de9a15a1-1925-4b21-b380-c50c0dc37627,24.70488674286753,0.00011497235858790359,4.653841014599369e-06,70.0,204.04569723958966,282.948091506958,0.00048036176081902053,0.0014002286201915126,0.0019416289869383912,0.003822219367948923,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20171122/audio/20171122-095628_2317961_2326861.wav,2025-02-05T21:51:32,experiment_7,de9a15a1-1925-4b21-b380-c50c0dc37627,49.45766507508233,0.00023047257878764283,4.6600249334449735e-06,70.0,204.802653558172,282.948091506958,0.0009616147194303473,0.0028134503063235172,0.0038869223009629847,0.00766198732671685,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
20171122/audio/20171122-095628_2326861_2333961.wav,2025-02-05T21:52:22,experiment_7,de9a15a1-1925-4b21-b380-c50c0dc37627,48.791085427161306,0.00022779163964761632,4.668711762619256e-06,70.0,205.81565583006923,282.948091506958,0.0009487054713536057,0.0027894097315304123,0.003834745157741532,0.007572860360625544,Norway,NOR,trøndelag,,,Linux-5.4.0-204-generic-x86_64-with-glibc2.29,3.8.10,2.8.3,56,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2,2 x Tesla V100-PCIE-32GB,10.4037,63.4306,754.5282440185547,machine,N
